"","total_claim_amount","pol_bonus","pol_duration","pol_sit_duration","pol_insee_code","drv_age1","drv_age2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_value","vh_weight","pol_coverageMaxi","pol_coverageMedian1","pol_coverageMedian2","pol_coverageMini","pol_pay_freqMonthly","pol_pay_freqQuarterly","pol_pay_freqYearly","pol_paydYes","pol_usageProfessional","pol_usageRetired","pol_usageWorkPrivate","vh_fuelGasoline","vh_fuelHybrid","vh_typeTourism","drv_sex1"
"1",927.16,0.132075471698113,0.108108108108108,0,83,0.226190476190476,0,0.163636363636364,0,0.150943396226415,0.299942759015455,0.187755102040816,34,33,0.148148148148148,0.122448979591837,0.502645502645503,0.172880525485753,0.39375,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"2",555.48,0,0.135135135135135,0.0526315789473684,86,0.416666666666667,0.608695652173913,0.281818181818182,0.333333333333333,0.0188679245283019,0.157031100934936,0.118367346938776,33,211,0.0740740740740741,0.0612244897959184,0.396825396825397,0.107347919952229,0.3565625,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"3",478.01,0.0660377358490565,0,0,63,0.166666666666667,0,0.109090909090909,0,0.169811320754717,0.395344399923679,0.3,3,69,0.185185185185185,0.183673469387755,0.693121693121693,0.308401341274824,0.4921875,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"4",512.83,0.132075471698113,0.027027027027027,0.0526315789473684,78,0.154761904761905,0,0.0909090909090909,0,0.113207547169811,0.185651593207403,0.104081632653061,7,168,0.148148148148148,0,0.37037037037037,0.132228874155961,0.330625,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"5",1236,0.132075471698113,0.027027027027027,0.0526315789473684,10,0.30952380952381,0.467391304347826,0.218181818181818,0.198198198198198,0.169811320754717,0.253386758252242,0.148979591836735,15,267,0.203703703703704,0.163265306122449,0.507936507936508,0.133530339452772,0.3990625,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"6",158.28,0,0,0,91,0.404761904761905,0.565217391304348,0.290909090909091,0.297297297297297,0,0.138141576035108,0.118367346938776,37,495,0.037037037037037,0,0.428571428571429,0.0709834484236959,0.2984375,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"7",1429.82,0,0.405405405405405,0.0526315789473684,14,0.416666666666667,0.684782608695652,0.254545454545455,0.369369369369369,0.169811320754717,0.280671627551994,0.23265306122449,51,388,0.185185185185185,0.122448979591837,0.634920634920635,0.188498109047481,0.4296875,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"8",1809.02,0,0,0,69,0.535714285714286,0.673913043478261,0.409090909090909,0.396396396396396,0.0377358490566038,0.294409463842778,0.251020408163265,51,481,0.0555555555555556,0,0.497354497354497,0.279064782349068,0.50125,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"9",405.9,0.330188679245283,0.135135135135135,0.105263157894737,22,0.19047619047619,0,0.118181818181818,0,0.0754716981132075,0.197672199961839,0.181632653061225,37,447,0.0925925925925926,0.0816326530612245,0.476190476190476,0.172038400881934,0.4578125,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"10",496,0,0.0540540540540541,0,23,0.547619047619048,0.206521739130435,0.372727272727273,1,0,0.184125166952872,0.118367346938776,8,443,0,0,0.386243386243386,0.063633997335824,0.3328125,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0
"11",2671.61,0,0.324324324324324,0.0526315789473684,57,0.511904761904762,0.380434782608696,0.372727272727273,0.144144144144144,0.188679245283019,0.210265216561725,0.0836734693877551,7,446,0.222222222222222,0.204081632653061,0.37037037037037,0.0767328627643123,0.278125,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
"12",544.38,0,0.675675675675676,0.368421052631579,25,0.595238095238095,0.771739130434783,0.290909090909091,0.459459459459459,0.132075471698113,0.299942759015455,0.148979591836735,7,528,0.166666666666667,0.102040816326531,0.46031746031746,0.165148290487054,0.40625,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"13",126.84,0,0.27027027027027,0.315789473684211,76,0.44047619047619,0.260869565217391,0.318181818181818,1,0.283018867924528,0.313489792024423,0.102040816326531,37,414,0.444444444444444,0.428571428571429,0.402116402116402,0.0966835601965978,0.3359375,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
"14",2603.95,0.283018867924528,0.513513513513513,0.157894736842105,27,0.392857142857143,0,0.290909090909091,0,0.0566037735849057,0.328754054569739,0.271428571428571,6,404,0.0740740740740741,0.0816326530612245,0.502645502645503,0.168593345684494,0.471875,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"15",1966.56,0,0.297297297297297,0.0526315789473684,1,0.452380952380952,0.293478260869565,0.336363636363636,0.0630630630630631,0.150943396226415,0.261591299370349,0.220408163265306,33,536,0.185185185185185,0.122448979591837,0.529100529100529,0.160401769992804,0.434375,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"16",426.85,0,0.621621621621622,0.105263157894737,59,0.380952380952381,0,0.290909090909091,0,0.169811320754717,0.275329135661133,0.108163265306122,34,15,0.222222222222222,0.142857142857143,0.386243386243386,0.0908882117866822,0.315625,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"17",95.08,0,0.243243243243243,0.0526315789473684,95,0.452380952380952,0.543478260869565,0.254545454545455,0.288288288288288,0.0188679245283019,0.172295363480252,0.155102040816327,47,472,0.0925925925925926,0,0.46031746031746,0.0934911423803035,0.303125,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"18",1665.68,0,0.135135135135135,0.157894736842105,95,0.261904761904762,0.391304347826087,0.190909090909091,0.144144144144144,0.132075471698113,0.300133562297272,0.171428571428571,33,536,0.148148148148148,0.102040816326531,0.46031746031746,0.154813124894734,0.40625,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"19",215.28,0,0.027027027027027,0.0526315789473684,2,0.25,0.391304347826087,0.190909090909091,0.144144144144144,0.169811320754717,0.280671627551994,0.23265306122449,51,388,0.185185185185185,0.122448979591837,0.597883597883598,0.184976497067875,0.4453125,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"20",1236,0.00943396226415095,0.324324324324324,0,79,0.214285714285714,0,0.109090909090909,0,0.169811320754717,0.223239839725243,0.179591836734694,51,283,0.185185185185185,0.122448979591837,0.55026455026455,0.124190412028602,0.3596875,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1
"21",819.81,0.0188679245283019,0.297297297297297,0.0526315789473684,64,0.511904761904762,0.326086956521739,0.154545454545455,0.108108108108108,0.169811320754717,0.377218088151116,0.210204081632653,15,490,0.185185185185185,0.163265306122449,0.338624338624339,0.211970418459371,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"22",278.75,0.0188679245283019,0.135135135135135,0,69,0.238095238095238,0.434782608695652,0.163636363636364,0.144144144144144,0.132075471698113,0.275710742224766,0.202040816326531,37,254,0.148148148148148,0.0816326530612245,0.486772486772487,0.240556720919906,0.553125,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"23",358.86,0,0.135135135135135,0.263157894736842,50,0.5,0.760869565217391,0.345454545454545,0.423423423423423,0.339622641509434,0.247281053234116,0.155102040816327,37,412,0.407407407407407,0.36734693877551,0.502645502645503,0.1022875166511,0.3015625,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0
"24",1145.19,0,0.0810810810810811,0.0526315789473684,81,0.476190476190476,0,0.354545454545455,0,0.0188679245283019,0.216561724861668,0.148979591836735,34,34,0.0555555555555556,0.0408163265306122,0.486772486772487,0.148688582321508,0.4096875,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"25",1427.13,0,0.0540540540540541,0.0526315789473684,34,0.404761904761905,0.641304347826087,0.3,0.36036036036036,0.132075471698113,0.300133562297272,0.238775510204082,34,53,0.222222222222222,0.163265306122449,0.608465608465608,0.201589318797752,0.419375,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"26",275.99,0.132075471698113,0.216216216216216,0,8,0.142857142857143,0,0.109090909090909,0,0.169811320754717,0.280671627551994,0.191836734693878,51,283,0.222222222222222,0.224489795918367,0.53968253968254,0.140106567040774,0.3125,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"27",7795.57,0,0.027027027027027,0,5,0.321428571428571,0.228260869565217,0.209090909090909,0.018018018018018,0.113207547169811,0.197672199961839,0.1,37,201,0.166666666666667,0.142857142857143,0.396825396825397,0.0931849152516421,0.3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"28",1287,0,0.0540540540540541,0.105263157894737,55,0.619047619047619,0,0.309090909090909,0,0.0943396226415094,0.197672199961839,0.1,37,201,0.166666666666667,0.142857142857143,0.396825396825397,0.0931849152516421,0.3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"29",2021.92,0,0.0810810810810811,0.157894736842105,83,0.642857142857143,0.869565217391304,0.427272727272727,0.495495495495495,0.169811320754717,0.299942759015455,0.148979591836735,34,33,0.166666666666667,0.122448979591837,0.481481481481481,0.131846090245135,0.3884375,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"30",4916.24,0.00943396226415095,0.189189189189189,0.105263157894737,75,0.30952380952381,0,0.227272727272727,0,0.0566037735849057,0.294409463842778,0.312244897959184,2,107,0.0740740740740741,0.0408163265306122,0.698412698412698,0.250585659383565,0.45,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"31",1236,0,0.162162162162162,0,26,0.416666666666667,0.58695652173913,0.309090909090909,0.315315315315315,0.113207547169811,0.280671627551994,0.171428571428571,51,388,0.111111111111111,0.122448979591837,0.544973544973545,0.178469170583822,0.4253125,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"32",1236,0,0.162162162162162,0.0526315789473684,81,0.511904761904762,0,0.390909090909091,0,0.132075471698113,0.299942759015455,0.148979591836735,7,147,0.148148148148148,0.122448979591837,0.396825396825397,0.113679165837302,0.346875,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"33",189.87,0,0.108108108108108,0.0526315789473684,31,0.44047619047619,0.282608695652174,0.318181818181818,0.045045045045045,0.226415094339623,0.173058576607518,0.118367346938776,48,465,0.222222222222222,0.224489795918367,0.433862433862434,0.071358576656306,0.259375,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"34",1283.84,0,0.162162162162162,0.0526315789473684,75,0.214285714285714,0,0.145454545454545,0,0.169811320754717,0.487311581759206,0.436734693877551,3,73,0.185185185185185,0.183673469387755,0.825396825396825,0.328826690756534,0.5109375,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1
"35",139.13,0,0.243243243243243,0,45,0.595238095238095,0,0.454545454545455,0,0.132075471698113,0.299942759015455,0.148979591836735,7,528,0.203703703703704,0.102040816326531,0.46031746031746,0.152133637518948,0.4125,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
"36",320.73,0.0377358490566038,0,0,67,0.202380952380952,0,0.154545454545455,0,0.226415094339623,0.395726006487312,0.126530612244898,37,342,0.240740740740741,0.204081632653061,0.195767195767196,0.186109537443922,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"37",1855.11,0.0754716981132075,0.0540540540540541,0,6,0.428571428571429,0.510869565217391,0.309090909090909,0.234234234234234,0.0188679245283019,0.299942759015455,0.251020408163265,15,432,0.0740740740740741,0,0.576719576719577,0.260078700372066,0.52125,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"38",1337.71,0,0,0,67,0.166666666666667,0,0.127272727272727,0,0.113207547169811,0.283342873497424,0.271428571428571,0,286,0.111111111111111,0.0204081632653061,0.64021164021164,0.226010932308493,0.4265625,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"39",131.57,0,0.675675675675676,0.105263157894737,78,0.416666666666667,0.282608695652174,0.318181818181818,0.0630630630630631,0.0377358490566038,0.223812249570693,0.210204081632653,30,356,0.0740740740740741,0.0816326530612245,0.608465608465608,0.137970632818361,0.35625,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"40",439.47,0.330188679245283,0.0810810810810811,0.0526315789473684,26,0.0714285714285714,0,0.0272727272727273,0,0.0943396226415094,0.166762068307575,0.108163265306122,15,264,0.12962962962963,0.122448979591837,0.386243386243386,0.0889742922325489,0.321875,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"41",1984.95,0,0.135135135135135,0.157894736842105,10,0.535714285714286,0,0.390909090909091,0,0.0754716981132075,0.185651593207403,0.104081632653061,34,15,0.148148148148148,0.163265306122449,0.423280423280423,0.104438762229946,0.3278125,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"42",88.98,0.169811320754717,0,0,1,0.345238095238095,0,0.254545454545455,0,0.0566037735849057,0.299561152451822,0.148979591836735,33,513,0.0740740740740741,0,0.301587301587302,0.203656351916216,0.5390625,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"43",574.09,0.207547169811321,0.162162162162162,0.157894736842105,64,0.25,0.510869565217391,0.163636363636364,0.243243243243243,0.0566037735849057,0.294409463842778,0.251020408163265,51,485,0.0740740740740741,0.0612244897959184,0.582010582010582,0.204115692609208,0.4975,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"44",5013.73,0,0.783783783783784,0.0526315789473684,42,0.55952380952381,0.706521739130435,0.409090909090909,0.414414414414414,0.0377358490566038,0.197672199961839,0.181632653061225,37,447,0.0925925925925926,0.0816326530612245,0.476190476190476,0.177780159544334,0.4265625,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
