"","total_claim_amount","pol_bonus","pol_coverage","pol_duration","pol_sit_duration","pol_pay_freq","pol_payd","pol_usage","pol_insee_code","drv_drv2","drv_age1","drv_age2","drv_sex1","drv_sex2","drv_age_lic1","drv_age_lic2","vh_age","vh_cyl","vh_din","vh_fuel","vh_make","vh_model","vh_sale_begin","vh_sale_end","vh_speed","vh_type","vh_value","vh_weight"
"1",927.16,0.64,"Median2",5,1,"Monthly","No","WorkPrivate","83050","No",38,0,"M","",19,0,9,1997,109,"Diesel","PEUGEOT","307",9,7,183,"Tourism",23460,1260
"2",555.48,0.5,"Maxi",6,2,"Monthly","No","WorkPrivate","86183","Yes",54,56,"M","F",32,37,2,1248,75,"Diesel","OPEL","CORSA",5,4,163,"Tourism",14900,1141
"3",478.01,0.57,"Median2",1,1,"Monthly","No","WorkPrivate","63180","No",33,0,"M","",13,0,10,2497,164,"Diesel","BMW","525",11,10,219,"Tourism",41162,1575
"4",512.83,0.64,"Maxi",2,2,"Yearly","No","WorkPrivate","78455","No",32,0,"F","",11,0,7,1398,68,"Diesel","CITROEN","C3",9,1,158,"Tourism",18150,1058
"5",1236,0.64,"Median2",2,2,"Monthly","No","WorkPrivate","11262","Yes",45,43,"M","F",25,22,10,1753,90,"Diesel","FORD","FOCUS",12,9,184,"Tourism",18320,1277
"6",158.28,0.5,"Maxi",1,1,"Biannual","No","WorkPrivate","91114","Yes",53,52,"M","F",33,33,1,1149,75,"Gasoline","RENAULT","TWINGO",3,1,169,"Tourism",10150,955
"7",-477.91,0.63,"Maxi",7,1,"Biannual","No","WorkPrivate","95203","No",51,0,"F","",24,0,4,1560,109,"Diesel","PEUGEOT","207",4,1,193,"Tourism",20550,1275
"8",-991.69,0.5,"Maxi",26,3,"Monthly","No","WorkPrivate","22389","No",81,0,"F","",54,0,13,1242,75,"Gasoline","FORD","FIESTA",13,11,170,"Tourism",10428,940
"9",1429.82,0.5,"Maxi",16,2,"Monthly","No","WorkPrivate","15140","Yes",54,63,"M","F",29,41,10,1896,131,"Diesel","VOLKSWAGEN","PASSAT",11,7,208,"Tourism",25500,1375
"10",1809.02,0.5,"Maxi",1,1,"Yearly","No","Retired","69384","Yes",64,62,"M","F",46,44,3,1968,140,"Diesel","VOLKSWAGEN","TIGUAN",4,1,182,"Tourism",37330,1604
"11",405.9,0.85,"Maxi",6,3,"Monthly","No","WorkPrivate","24530","No",35,0,"F","",14,0,5,1461,106,"Diesel","RENAULT","SCENIC",6,5,178,"Tourism",23350,1465
"12",496,0.5,"Maxi",3,1,"Yearly","Yes","WorkPrivate","25056","Yes",65,19,"F","M",42,111,1,1390,75,"Gasoline","DACIA","SANDERO",1,1,161,"Tourism",9190,1065
"13",2671.61,0.5,"Median2",13,2,"Yearly","No","WorkPrivate","57413","Yes",62,35,"M","F",42,16,11,1527,58,"Diesel","CITROEN","SAXO",13,11,158,"Tourism",10901,890
"14",544.38,0.5,"Maxi",26,8,"Biannual","No","Retired","27287","Yes",69,71,"F","M",33,51,8,1997,90,"Diesel","CITROEN","XSARA",10,6,175,"Tourism",22450,1300
"15",126.84,0.5,"Median2",11,7,"Monthly","No","WorkPrivate","76466","Yes",56,24,"M","M",36,111,16,2068,67,"Diesel","RENAULT","R21",25,22,164,"Tourism",13507,1075
"16",2603.95,0.8,"Maxi",20,4,"Monthly","No","WorkPrivate","29119","No",52,0,"M","",33,0,4,2148,150,"Diesel","CHRYSLER","PT CRUISER",5,5,183,"Tourism",22900,1510
"17",1966.56,0.5,"Maxi",12,2,"Yearly","No","Professional","02810","Yes",57,27,"F","F",38,7,9,1796,125,"Gasoline","OPEL","ZAFIRA",11,7,188,"Tourism",21830,1390
"18",426.85,0.5,"Maxi",24,3,"Biannual","No","WorkPrivate","59599","No",51,0,"M","",33,0,10,1868,70,"Diesel","PEUGEOT","206",13,8,161,"Tourism",12750,1010
"19",95.08,0.5,"Maxi",10,2,"Biannual","No","WorkPrivate","95488","Yes",57,50,"M","F",29,32,2,1328,93,"Gasoline","SUZUKI","SWIFT",6,1,175,"Tourism",13090,970
"20",1665.68,0.5,"Maxi",6,4,"Biannual","No","WorkPrivate","95388","Yes",41,36,"M","F",22,16,8,1998,101,"Diesel","OPEL","ZAFIRA",9,6,175,"Tourism",21100,1300
"21",215.28,0.5,"Maxi",2,2,"Monthly","No","WorkPrivate","03321","Yes",40,36,"M","F",22,16,10,1896,131,"Diesel","VOLKSWAGEN","PASSAT",11,7,201,"Tourism",25040,1425
"22",1236,0.51,"Median1",13,1,"Monthly","No","WorkPrivate","79117","No",37,0,"M","",13,0,10,1595,105,"Gasoline","VOLKSWAGEN","GOLF",11,7,192,"Tourism",17100,1151
"23",819.81,0.52,"Median2",12,2,"Biannual","No","WorkPrivate","64102","Yes",62,30,"M","M",18,12,10,2402,120,"Diesel","FORD","TRANSIT",11,9,152,"Commercial",28566,0
"24",278.75,0.52,"Maxi",6,1,"Yearly","No","WorkPrivate","69081","Yes",39,40,"M","F",19,16,8,1870,116,"Diesel","RENAULT","ESPACE",9,5,180,"Tourism",32300,1770
"25",358.86,0.5,"Median2",6,6,"Monthly","No","Retired","50060","Yes",61,70,"F","M",39,47,19,1721,93,"Gasoline","RENAULT","R19",23,19,183,"Tourism",14239,965
"26",1145.19,0.5,"Maxi",4,2,"Yearly","No","WorkPrivate","81065","No",59,0,"M","",40,0,2,1560,90,"Diesel","PEUGEOT","308",4,3,180,"Tourism",20300,1311
